lat,lon,osmid,ref,highway,elevation,elevation_res
47.6395512,-122.4023839,53068421,NA,NA,59,4.77
47.6411667,-122.4023621,53068423,NA,NA,60.16,4.77
47.6431591,-122.402345,53068424,NA,NA,62.66,4.77
47.6450099,-122.4023165,53068425,NA,NA,64.94,4.77
47.646837,-122.4023079,53068427,NA,NA,67.07,4.77
47.6486344,-122.402303,53068429,NA,NA,71.43,4.77
47.6504502,-122.4022969,53068431,NA,NA,70.87,4.77
47.6522563,-122.4022824,53068432,NA,NA,66.21,4.77
47.6540823,-122.4022926,53068433,NA,NA,58.64,4.77
47.655858,-122.4022655,53068436,NA,NA,54.17,4.77
47.656756,-122.402271,53068438,NA,NA,53.84,4.77
47.6343789,-122.4009897,53068446,NA,NA,46.6,152.7
47.6348259,-122.401113,53068447,NA,NA,48.34,152.7
47.5373754,-122.3864751,53068458,NA,NA,85.87,4.77
47.5360874,-122.383766,53068459,NA,NA,115.01,4.77
47.6442866,-122.3675493,53068468,NA,NA,98.68,4.77
47.6442849,-122.3688903,53068470,NA,NA,96.81,4.77
47.6442896,-122.3701964,53068472,NA,NA,87.09,4.77
47.6442896,-122.3715325,53068474,NA,NA,70.71,4.77
47.644095,-122.3609105,53068480,NA,NA,57.56,4.77
47.6440904,-122.362214,53068481,NA,NA,77.07,4.77
47.6441038,-122.3634742,53068484,NA,NA,87.92,4.77
47.7023552,-122.3821075,53068644,NA,NA,80.22,4.77
47.702828,-122.3813814,53068645,NA,NA,76.94,76.35
47.7028555,-122.3797282,53068648,NA,NA,88.01,76.35
47.7032075,-122.3791341,53068650,NA,NA,92.17,76.35
47.6594584,-122.3859449,53068668,NA,NA,12.21,9.54
47.6594613,-122.3874668,53068669,NA,NA,15.6,9.54
47.6594638,-122.3887886,53068671,NA,NA,19.07,4.77
47.6594652,-122.3895266,53068673,NA,NA,20.66,4.77
47.6590351,-122.3928802,53068677,NA,NA,44.11,4.77
47.6591735,-122.3931628,53068678,NA,NA,44.92,4.77
47.6595133,-122.3939274,53068679,NA,NA,46.89,4.77
47.6595073,-122.3949743,53068680,NA,NA,55.15,4.77
47.6594598,-122.3910035,53068682,NA,NA,26.69,4.77
47.6594515,-122.3922065,53068684,NA,NA,34.51,4.77
47.6594475,-122.3928524,53068685,NA,NA,39.64,4.77
47.6600543,-122.3949745,53068688,NA,NA,47.79,4.77
47.6600671,-122.3960794,53068690,NA,NA,51.52,4.77
47.66007,-122.3971443,53068692,NA,NA,51.06,4.77
47.6600713,-122.3976318,53068693,NA,NA,49.99,4.77
47.6600728,-122.3981945,53068694,NA,NA,48.72,4.77
47.5823121,-122.3734003,53068701,NA,NA,5.34,76.35
47.6035228,-122.3180949,53068776,NA,NA,79.67,4.77
47.6043662,-122.3180972,53068778,NA,NA,84.58,4.77
47.6052058,-122.3180993,53068779,NA,NA,86.68,4.77
47.6062098,-122.3181012,53068780,NA,NA,90.42,4.77
47.6123094,-122.3180452,53068790,NA,traffic_signals,90.69,4.77
47.6129415,-122.3181428,53068792,NA,NA,91.56,4.77
47.6140997,-122.3181455,53068794,NA,NA,93.27,4.77
47.6152704,-122.3181633,53068795,NA,traffic_signals,94.97,4.77
47.6164294,-122.3181791,53068796,NA,NA,96.69,4.77
47.6176072,-122.3181951,53068798,NA,NA,98.52,4.77
47.6164392,-122.3168729,53068898,NA,NA,102.64,4.77
47.6164428,-122.3155451,53068899,NA,NA,109.45,4.77
47.6164498,-122.3142266,53068901,NA,NA,112.87,4.77
47.6164481,-122.3128007,53068902,NA,NA,120.93,4.77
47.6164535,-122.3114529,53068903,NA,NA,126.68,4.77
47.6164493,-122.310133,53068906,NA,NA,130.91,4.77
47.6164544,-122.3088262,53068909,NA,NA,126.85,4.77
47.6163559,-122.32679,53068912,NA,NA,68.34,4.77
47.6163572,-122.3255382,53068916,NA,NA,78.91,4.77
47.6163584,-122.3244833,53068917,NA,NA,83.89,4.77
47.6163758,-122.3234327,53068920,NA,NA,90.79,4.77
47.6163962,-122.3221635,53068921,NA,NA,96.22,4.77
47.6164894,-122.3025979,53068925,NA,NA,101.57,4.77
47.6164861,-122.3013692,53068927,NA,NA,95.45,4.77
47.616461,-122.3000757,53068929,NA,NA,82.51,4.77
47.6164554,-122.2987516,53068930,NA,NA,75.31,4.77
47.6164579,-122.2974626,53068931,NA,NA,61.56,4.77
47.6164537,-122.2961712,53068932,NA,NA,47.2,4.77
47.6164452,-122.2948532,53068933,NA,NA,52.83,4.77
47.6164452,-122.2935496,53068936,NA,NA,54.95,4.77
47.6164415,-122.2924016,53068937,NA,NA,63.57,4.77
47.6164381,-122.2913445,53068938,NA,NA,70.38,4.77
